ano_ocorrencia,mes_ocorrencia,subprefeitura_geosampa,subtracoes_total,roubos,furtos
2025,6,SAO MIGUEL,161,77,84
2025,6,SAPOPEMBA,80,55,25
2025,6,SE,2385,526,1860
2025,6,VILA MARIA-VILA GUILHERME,229,83,146
2025,6,VILA MARIANA,408,139,269
2025,6,VILA PRUDENTE,161,81,80
2025,7,ARICANDUVA-FORMOSA-CARRAO,117,60,57
2025,7,BUTANTA,382,202,180
2025,7,CAMPO LIMPO,634,453,181
2025,7,CAPELA DO SOCORRO,341,184,157
2025,7,CASA VERDE-LIMAO-CACHOEIRINHA,219,69,150
2025,7,CIDADE ADEMAR,134,71,63
2025,7,CIDADE TIRADENTES,97,61,36
2025,7,ERMELINO MATARAZZO,70,40,30
2025,7,FREGUESIA-BRASILANDIA,174,100,74
2025,7,GUAIANASES,199,101,98
2025,7,IPIRANGA,454,168,287
2025,7,ITAIM PAULISTA,185,98,87
2025,7,ITAQUERA,294,131,163
2025,7,JABAQUARA,111,60,51
2025,7,JACANA-TREMEMBE,101,49,52
2025,7,LAPA,614,192,422
2025,7,M BOI MIRIM,471,346,125
2025,7,MOOCA,966,269,697
2025,7,PARELHEIROS,40,25,15
2025,7,PENHA,284,142,142
2025,7,PERUS-ANHANGUERA,83,35,48
2025,7,PINHEIROS,989,333,656
2025,7,PIRITUBA-JARAGUA,220,128,92
2025,7,SANTANA-TUCURUVI,307,94,213
2025,7,SANTO AMARO,446,186,260
2025,7,SAO MATEUS,251,142,109
2025,7,SAO MIGUEL,196,98,98
2025,7,SAPOPEMBA,98,66,32
2025,7,SE,2010,487,1523
2025,7,VILA MARIA-VILA GUILHERME,199,68,131
2025,7,VILA MARIANA,518,170,348
2025,7,VILA PRUDENTE,115,61,54
2025,8,ARICANDUVA-FORMOSA-CARRAO,104,40,64
2025,8,BUTANTA,505,158,347
2025,8,CAMPO LIMPO,709,543,167
2025,8,CAPELA DO SOCORRO,336,198,138
2025,8,CASA VERDE-LIMAO-CACHOEIRINHA,215,87,128
2025,8,CIDADE ADEMAR,140,74,66
2025,8,CIDADE TIRADENTES,104,63,41
2025,8,ERMELINO MATARAZZO,56,33,23
2025,8,FREGUESIA-BRASILANDIA,167,86,81
2025,8,GUAIANASES,143,69,74
2025,8,IPIRANGA,384,159,226
2025,8,ITAIM PAULISTA,203,110,93
2025,8,ITAQUERA,273,117,156
2025,8,JABAQUARA,98,37,61
2025,8,JACANA-TREMEMBE,102,44,58
2025,8,LAPA,603,178,425
2025,8,M BOI MIRIM,446,303,143
2025,8,MOOCA,953,252,701
2025,8,PARELHEIROS,66,43,23
2025,8,PENHA,258,124,134
2025,8,PERUS-ANHANGUERA,98,38,61
2025,8,PINHEIROS,1064,309,756
2025,8,PIRITUBA-JARAGUA,203,97,106
