ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,3,CAMBUCI,91,25,66
2025,3,CAMPO BELO,57,27,30
2025,3,CAMPO GRANDE,85,47,38
2025,3,CAMPO LIMPO,178,137,41
2025,3,CANGAIBA,81,52,29
2025,3,CAPAO REDONDO,212,147,65
2025,3,CARRAO,33,16,17
2025,3,CASA VERDE,90,29,61
2025,3,CIDADE ADEMAR,92,47,45
2025,3,CIDADE DUTRA,372,67,305
2025,3,CIDADE LIDER,57,39,18
2025,3,CIDADE TIRADENTES,91,53,38
2025,3,CONSOLACAO,498,114,384
2025,3,CURSINO,76,45,31
2025,3,ERMELINO MATARAZZO,59,39,20
2025,3,FREGUESIA DO O,115,66,49
2025,3,GRAJAU,160,93,67
2025,3,GUAIANASES,76,48,28
2025,3,IGUATEMI,43,28,15
2025,3,IPIRANGA,213,92,121
2025,3,ITAIM BIBI,249,82,167
2025,3,ITAIM PAULISTA,119,71,48
2025,3,ITAQUERA,184,86,98
2025,3,JABAQUARA,138,73,65
2025,3,JACANA,59,27,32
2025,3,JAGUARA,27,15,12
2025,3,JAGUARE,34,21,13
2025,3,JARAGUA,81,57,24
2025,3,JARDIM ANGELA,180,143,37
2025,3,JARDIM HELENA,26,14,12
2025,3,JARDIM PAULISTA,211,64,147
2025,3,JARDIM SAO LUIS,143,87,56
2025,3,JOSE BONIFACIO,64,32,32
2025,3,LAJEADO,92,63,29
2025,3,LAPA,197,75,122
2025,3,LIBERDADE,202,32,170
2025,3,LIMAO,118,47,72
2025,3,MANDAQUI,40,22,18
2025,3,MARSILAC,3,2,1
2025,3,MOEMA,455,69,387
2025,3,MOOCA,101,33,68
2025,3,MORUMBI,44,22,22
2025,3,PARELHEIROS,38,24,14
2025,3,PARI,99,33,66
2025,3,PARQUE DO CARMO,51,31,20
2025,3,PEDREIRA,59,34,25
2025,3,PENHA,85,46,39
2025,3,PERDIZES,133,32,101
2025,3,PERUS,70,32,38
2025,3,PINHEIROS,505,164,341
2025,3,PIRITUBA,106,56,50
2025,3,PONTE RASA,48,28,20
2025,3,RAPOSO TAVARES,51,34,17
2025,3,REPUBLICA,769,218,551
2025,3,RIO PEQUENO,63,43,20
2025,3,SACOMA,136,81,55
2025,3,SANTA CECILIA,366,124,242
2025,3,SANTANA,299,79,220
2025,3,SANTO AMARO,204,76,128
2025,3,SAO DOMINGOS,43,24,19
